studentId,academicYear,firstName,lastName,dateOfBirth,yearGroup,Class,keyStage,phonicsCheckResult,ks1ReadingScore,ks1ReadingGrade,ks1MathsScore,ks1MathsGrade,ks1GPSScore,ks1GPSGrade,readingScore,readingGrade,mathsScore,mathsGrade,gpsScore,gpsGrade,writingScore,writingGrade,scienceScore,scienceGrade,mtcScore,attendance_autumnTerm,attendance_springTerm,attendance_summerTerm,parentContactName,parentContactEmail,parentContactPhone
1001,2019/20,Melinda,Schoendorf,2014-02-16,1,1A,KS1,WES,,,,,,,,,,,,,,,,,,99,98,94,Roland Schoendorf,RolandSchoendorf@mail.co.uk,7227373372
1002,2019/20,Zuzana,Ricky,2014-04-04,1,1A,KS1,WES,,,,,,,,,,,,,,,,,,94,93,94,Welch Ricky,WelchRicky@mail.co.uk,7543553253
1003,2019/20,Tba,Valdes,2013-09-15,1,1A,KS1,WES,,,,,,,,,,,,,,,,,,94,95,96,Frederique Valdes,FrederiqueValdes@mail.co.uk,7484680043
1004,2019/20,Ingrid,Klopp,2013-12-13,1,1A,KS1,WES,,,,,,,,,,,,,,,,,,99,97,100,Tata Klopp,TataKlopp@mail.co.uk,7212077147
1005,2019/20,Gayle,Flugal,2013-09-25,1,1A,KS1,WES,,,,,,,,,,,,,,,,,,99,98,99,Robb Flugal,RobbFlugal@mail.co.uk,7678603321
1006,2019/20,Bret,Hiley,2014-01-19,1,1A,KS1,WES,,,,,,,,,,,,,,,,,,93,99,97,Bracelet Hiley,BraceletHiley@mail.co.uk,7800421365
1007,2019/20,M'lissa,Gosling,2014-05-13,1,1A,KS1,WES,,,,,,,,,,,,,,,,,,94,100,95,Alec Gosling,AlecGosling@mail.co.uk,7451424784
1008,2019/20,Harcemo,Velasquez,2014-01-26,1,1A,KS1,BES,,,,,,,,,,,,,,,,,,93,73,100,Hotels Velasquez,HotelsVelasquez@mail.co.uk,7243589843
1009,2019/20,Twyla,Staba,2014-06-30,1,1A,KS1,WES,,,,,,,,,,,,,,,,,,83,95,99,Rosario Staba,RosarioStaba@mail.co.uk,7576584585
1010,2019/20,Amelie,Simpson,2014-05-08,1,1A,KS1,BES,,,,,,,,,,,,,,,,,,94,100,99,Ihar Simpson,IharSimpson@mail.co.uk,7668243003
1011,2019/20,Gael,Paneri,2013-11-12,1,1A,KS1,BES,,,,,,,,,,,,,,,,,,94,99,97,Auten Paneri,AutenPaneri@mail.co.uk,7370487801
1012,2019/20,Seren,Pattanyus,2014-03-15,1,1A,KS1,BES,,,,,,,,,,,,,,,,,,94,98,93,Musa Pattanyus,MusaPattanyus@mail.co.uk,7263665819
1013,2019/20,Ducros,Frianela,2013-10-20,1,1A,KS1,BES,,,,,,,,,,,,,,,,,,93,74,94,Estefany Frianela,EstefanyFrianela@mail.co.uk,7539886598
1014,2019/20,Micaela,Residencia,2014-07-29,1,1A,KS1,WES,,,,,,,,,,,,,,,,,,97,74,98,Martinat Residencia,MartinatResidencia@mail.co.uk,7621227607
1015,2019/20,Lona,Limonchi,2013-12-16,1,1A,KS1,WES,,,,,,,,,,,,,,,,,,93,94,96,Kristan Limonchi,KristanLimonchi@mail.co.uk,7194491087
1016,2019/20,Kim,Roberts,2014-02-09,1,1A,KS1,BES,,,,,,,,,,,,,,,,,,100,98,100,Solomon Roberts,SolomonRoberts@mail.co.uk,7518089253
1017,2019/20,Miller,Watson,2013-11-12,1,1A,KS1,WES,,,,,,,,,,,,,,,,,,99,96,97,Angy Watson,AngyWatson@mail.co.uk,7163282313
1018,2019/20,Lyla,Room,2013-09-30,1,1A,KS1,WES,,,,,,,,,,,,,,,,,,73,73,95,Kirishna Room,KirishnaRoom@mail.co.uk,7326110904
1019,2019/20,Caryn,Rosso,2013-10-14,1,1A,KS1,BES,,,,,,,,,,,,,,,,,,100,96,84,Shadia Rosso,ShadiaRosso@mail.co.uk,7904404489
1020,2019/20,Julio,Obiols,2013-12-14,1,1A,KS1,WES,,,,,,,,,,,,,,,,,,96,98,75,Caroti Obiols,CarotiObiols@mail.co.uk,7419079715
1021,2019/20,Benito,Deakin,2014-04-16,1,1A,KS1,BES,,,,,,,,,,,,,,,,,,93,95,100,Eyal Deakin,EyalDeakin@mail.co.uk,7822287541
1022,2019/20,Nikeeta,Monserrat,2013-11-21,1,1A,KS1,WES,,,,,,,,,,,,,,,,,,74,93,96,Noma Monserrat,NomaMonserrat@mail.co.uk,7207954033
